0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
 sifted cake flour,baking powder, baking soda,salt, white sugar, butter, evaporated milk,eggs,   squares unsweetened chocolate,melted,vanilla extract, red food coloring,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
  squares white chocolate, hot water,butter,white sugar,egg yolks,vanilla extract, sifted allpurpose flour,baking soda,buttermilk,egg whites,beaten,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
high protein wheat flour, white sugar,baking powder,baking soda, salt,eggs, vanilla extract, vegetable oil,water,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 butter,softened, sifted confectioners ' sugar,vanilla extract,eggs, allpurpose flour,ground cinnamon,ground allspice, individually wrapped caramels,unwrapped, apples ,cored and,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
eggs,white sugar,vanilla extract,allpurpose flour,baking powder,milk,margarine, peanut butter,milk chocolate candy bar,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package yellow cake mix,  package instant lemon pudding mix, tangerine juice, vegetable oil,eggs,lemon extract, tangerine juice, white sugar, butter,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
dates,pitted, allpurpose flour,baking soda, walnuts,butter,white sugar,eggs,beaten, hot water,or as needed,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
eggs,beaten,sugar,allpurpose flour,pinch salt,baking powder,vanilla extract, milk,warmed, butter,melted,   container prepared vanilla frosting,  squares bittersweet chocolate,melted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
dried apples, water, white sugar, shortening, white sugar, buttermilk, baking soda,baking powder, salt, ground ginger, allpurpose flour, dried apple slices for,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour, brown sugar,baking soda,ground cinnamon, salt,margarine,water, unsweetened cocoa powder,instant coffee granules, sweetened condensed milk,eggs,vanilla extract, margarine, unsweetened cocoa powder,instant coffee granules, sweetened condensed milk,confectioners ' sugar,slivered,toasted almonds,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
water,margarine, unsweetened cocoa powder,allpurpose flour,white sugar, salt,eggs, sour cream,baking soda, margarine,milk, unsweetened cocoa powder,vanilla extract,   box confectioners ' sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 red and green candied cherries,quartered,candied pineapple,coarsely, dates,pitted and,allpurpose flour, pecans, flaked coconut,   can sweetened condensed milk,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
butter or margarine,brown sugar, white sugar,eggs, vanilla extract, water,instant coffee granules,allpurpose flour,unsweetened cocoa powder,baking powder,salt,coarsely pecans,heavy cream,chilled, salt, vanilla extract, brown sugar,not packed, pecan halves  optional ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
baking mix  such as Bisquick  , brown sugar, pecans,instant coffee granules,egg,butter flavored shortening,melted,vanilla extract,buttermilk, brown sugar, pecans, graham cracker crumbs, softened butter,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
butter,water,unsweetened cocoa powder,allpurpose flour,white sugar, salt,eggs, sour cream,baking soda, butter,unsweetened cocoa powder,milk,confectioners ' sugar,vanilla extract,walnuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour,white sugar,butter,water, shortening, unsweetened cocoa powder, buttermilk,eggs,baking soda, vanilla extract,milk,confectioners ' sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 butter, shortening,  squares unsweetened chocolate,water,unbleached allpurpose flour,white sugar,ground cinnamon,baking soda, buttermilk,eggs,beaten,vanilla extract, butter,  squares unsweetened chocolate,melted,milk,confectioners ' sugar,vanilla extract,pecans,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour,baking soda,white sugar, butter, shortening,strong brewed coffee, unsweetened cocoa powder, buttermilk,eggs,vanilla extract, butter, milk,milk,vanilla extract,unsweetened cocoa powder, confectioners ' sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour,white sugar,baking soda, salt, sour cream,eggs,butter,water,unsweetened cocoa powder,milk,unsweetened cocoa powder, butter,confectioners ' sugar,vanilla extract,walnuts  optional ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
hot brewed coffee,butter,unsweetened cocoa powder,allpurpose flour,white sugar,baking soda, salt,eggs,  container sour cream,vanilla extract, butter,milk,unsweetened cocoa powder,confectioners ' sugar,vanilla extract,pecans,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 white sugar,eggs,fruit cocktail,baking soda,allpurpose flour, packed brown sugar,walnuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package flaked coconut, salt, rice flour, tapioca flour, arrowroot starch,unsweetened coconut cream, white sugar,ripe bananas,mashed, salt, coconut milk,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
tapioca flour, rice flour, arrowroot powder, unsweetened coconut cream,white sugar,  pumpkin ,seeded,and,coconut milk, salt,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
white sugar, unsweetened coconut cream,cornstarch,,yucca root  tapioca root ,water,flaked coconut,divided, salt,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Crust , pecans,divided,allpurpose flour, butter,softened,white sugar,confectioners ' sugar,Cream Cheese Layer ,  package cream cheese,softened, confectioners ' sugar,  containers whipped topping  such as Cool Whip ,divided,Pumpkin Layer , canned pumpkin, milk, brown sugar,  packages instant vanilla pudding mix, pumpkin pie spice,pinch ground cinnamon,or more to taste,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
white sugar,allpurpose flour, butter, vegetable oil,water, unsweetened cocoa powder,baking soda, buttermilk,eggs,salt,ground cinnamon,vanilla extract, butter, unsweetened cocoa powder, milk,confectioners ' sugar,vanilla extract,pecans,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
margarine, shortening,white sugar,eggs, allpurpose flour, selfrising flour,evaporated milk,lemon extract, vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 allpurpose flour,rolled oats,melted butter, brown sugar, graham cracker crumbs, chocolate sauce,or to taste,divided, gallon vanilla ice cream,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour,white sugar,baking soda,salt,ground cinnamon,eggs, vegetable oil,vanilla extract,  can pineapple,drained,banana,mashed,walnuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 white sugar,eggs, baking powder, vanilla sugar,shortening,orange juice, unsweetened cocoa powder,allpurpose flour, confectioners ' sugar, instant coffee powder,milk,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package noninstant chocolate pudding mix,milk,   package devil 's food cake mix,semisweet chocolate chips,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
butter,white sugar,eggs,vanilla extract, red food color,allpurpose flour,baking powder, maraschino cherry juice, maraschino cherries,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
egg,white sugar,sour milk, lard, baking soda, allpurpose flour,unsweetened cocoa powder,pinch salt, baking powder,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
egg,white sugar,sour milk, lard, baking soda, allpurpose flour,unsweetened cocoa powder,pinch salt, baking powder,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 popped popcorn,semisweet chocolate chips,peanuts, margarine, peanut butter,miniature marshmallows,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 finely ground almonds, white sugar,egg whites, bittersweet chocolate,,instant coffee granules, boiling water, butter,, confectioners ' sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Friendship Fruit Starter,   can peaches with juice, white sugar,   can pineapple chunks with juice, white sugar,   jars maraschino cherries, white sugar,   packages yellow cake mix,   packages instant vanilla pudding mix, vegetable oil,eggs,golden raisins,walnuts,flaked coconut,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
white sugar,allpurpose flour,baking soda,ground cinnamon,butter, unsweetened cocoa powder,water, buttermilk,eggs,vanilla extract, walnuts, butter, unsweetened cocoa powder, milk, sifted confectioners ' sugar,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
selfrising flour, white sugar, shortening,milk,eggs,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cake flour,white sugar,salt,baking powder, shortening, milk,eggs, vanilla extract,white sugar,light corn syrup,boiling water,egg whites,vanilla extract, flaked coconut,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 white sugar,allpurpose flour,baking soda, ground cinnamon, ground cloves,eggs, vegetable oil,pecans,   can apple pie filling,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package angel food cake mix, water,  gram  packet instant coffee  such as Starbucks VIA , water,coffeeflavored liqueur,  package cream cheese,softened, heavy cream,butter,softened,   package instant French vanilla pudding mix,  package cream cheese,softened,heavy cream,confectioners ' sugar,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package cake mix, water,eggs,finely ground espresso,coffeeflavored liqueur  such as Kahlua ,packed light brown sugar,mascarpone cheese,confectioners ' sugar,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 inch  sponge cake, strong brewed coffee,, brandy, mascarpone cheese,, confectioners ' sugar,unsweetened cocoa powder,for dusting,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CAKE ,   package moist white cake mix,instant coffee powder, coffee,coffee flavored liqueur,FILLING ,  container mascarpone cheese, confectioners ' sugar,coffee flavored liqueur,FROSTING ,heavy cream, confectioners ' sugar,coffee flavored liqueur,,unsweetened cocoa powder,  square semisweet chocolate,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package chocolate sandwich cookies  such as Oreo ,  package cream cheese,softened,   jar marshmallow creme,   package vanilla almond bark,or as needed,shortening,lollipop sticks,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 butter,softened,pecans,sifted allpurpose flour,baking powder, salt,white sugar,eggs,milk,vanilla extract, butter,vanilla extract, salt,sifted confectioners ' sugar, cream,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
flaked sweetened coconut,   package instant coconut cream pudding mix,   can coconut milk,   package white cake mix,vanilla yogurt, vegetable oil,eggs, flaked sweetened coconut,Frosting ,  package cream cheese,,confectioners ' sugar,or to taste,milk,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cake ,allpurpose flour,baking powder, salt,fresh blueberries, vegetable shortening,white sugar,egg, milk,Topping , white sugar, allpurpose flour,ground cinnamon,cold butter, toasted flake coconut,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
brown sugar,allpurpose flour, butter,softened,egg,beaten,baking soda,milk,vanilla extract,salt,walnuts,  packages toffee baking bits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour, white sugar, brown sugar,butter,softened,milk,baking powder,vanilla extract,   bars chocolate covered toffee bars,,egg,,unsalted dryroasted peanuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
  inch  angel food cake,   container frozen whipped topping,thawed,   bars chocolate covered English toffee,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 allpurpose flour, ground almonds, packed brown sugar,divided, butter, tofu, vegetable oil, orange juice, chocolate liqueur, unsweetened cocoa powder,almond extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 butter,softened, masa harina, water,frozen corn,thawed,divided, cornmeal, white sugar,heavy whipping cream, baking powder, salt,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   can condensed tomato soup,baking soda,white sugar,egg, butter, salt,ground cinnamon, ground cloves, selfrising flour,raisins,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 cake flour, white sugar,baking soda,baking powder,ground allspice,ground cinnamon, ground cloves,   can condensed tomato soup, shortening,eggs, water,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
white sugar, shortening, salt,eggs,ground cinnamon,ground nutmeg,baking powder, ground cloves, raisins, walnuts,sifted allpurpose flour,   can condensed tomato soup,baking soda,  package cream cheese,confectioners ' sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package devil 's food cake mix,   package instant chocolate pudding mix,sour cream,vegetable oil,eggs, warm water,semisweet chocolate chips,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package strawberry cake mix,   package instant vanilla pudding mix,sour cream,vegetable oil,eggs, warm water,   container prepared strawberry frosting,divided,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 allpurpose flour,white sugar,baking soda, unsweetened cocoa powder,water, vegetable oil,white vinegar,vanilla extract,almond extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
active dry yeast, warm water,egg, melted butter, vanilla extract, milk, cake flour, cornmeal, superfine sugar, salt, raisins  optional ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package active dry yeast, lukewarm water,milk,scalded and slightly cooled,eggs,lightly beaten, white sugar, salt,allpurpose flour, butter,melted,white sugar,ground cinnamon, butter,melted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
orange,raisins,walnuts, shortening,white sugar,buttermilk,egg,allpurpose flour, baking soda,baking powder, salt, ground cinnamon, ground cloves, ground allspice,heavy whipping cream,vanilla extract,confectioners ' sugar,orange zest,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cake , allpurpose flour,baking powder, salt,eggs,separated, cream of tartar, granulated sugar, whole milk,pure vanilla extract, pure almond extract,Reynolds Wrap Non Stick Aluminum Foil,Milks ,heavy cream,   can sweetened condensed milk,  can evaporated milk,rum,pure vanilla extract,Frosting ,heavy cream, confectioners ' sugar,pinch salt,pure vanilla extract,Assorted sprinkles,for,Maraschino cherries,for,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
flour,baking powder, salt,whole milk,,divided,vanilla,eggs,separated,, sugar,   can sweetened condensed milk,  can evaporated milk, heavy cream,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 allpurpose flour,baking powder, unsalted butter,white sugar,eggs, vanilla extract,whole milk,   can sweetened condensed milk,  fluid  can evaporated milk, heavy whipping cream,white sugar,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   box yellow cake mix without pudding,eggs, water, vegetable oil,  can pineapple,   can cream of coconut,milk,heavy whipping cream, white sugar,toasted flaked coconut,or as desired  optional ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cake ,white sugar, refined coconut oil,stick unsalted butter,eggs,flour,baking powder, salt, fullfat coconut milk,Frosting ,cream cheese, stick unsalted butter, confectioners ' sugar, salt, vanilla extract, toasted sweetened coconut flakes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cake ,   package yellow cake mix, eggnog,or more to taste,eggs, melted butter, ground nutmeg, rumflavored extract,Filling ,eggnog,   package instant vanilla pudding mix, rumflavored extract,Topping ,cold water,unflavored gelatin,heavy whipping cream, white sugar, rumflavored extract,pinch salt,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
